reactions,genes,size,fva_min,fva_max,target_flux,biomass_flux,yield,fitness
"('EHGLAT', 'TYRTAip', 'ASPTA', 'GTPt2m', 'EHGLATp', 'ASPTAp')","(('YLR027C', 'YDL198C'),)",2,0.0,0.0037589743589748806,0.0,0.2867328529020701,0.0,0.0
"('EHGLAT', 'GTPt2m', 'ASPTA', 'TYRTAip', 'EHGLATp', 'ASPTAp')","(('YDL198C', 'YLR027C'),)",2,0.0,0.0037589743589748806,0.0,0.2867328529020701,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'ADK1m', 'EHGLAT', 'TYRTAip')","(('YER170W', 'YLR027C'),)",2,0.0,0.003758974358957358,0.0,0.286732852902083,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'ALDD20y', 'EHGLATp', 'ASPTAp', 'ADK1m', 'EHGLAT', 'ALDD2y', 'TYRTAip')","(('YPL061W', 'YER170W', 'YLR027C'),)",3,0.0,0.0037589743589746673,0.0,0.28673285290207073,0.0,0.0
"('ADK3m', 'ME2m', 'ME1m', 'ADK4m', 'GLU5K', 'ADK1m')","(('YDR300C', 'YER170W', 'YKL029C'),)",3,0.0,0.003908602150537339,0.0,0.2878093950254188,0.0,0.0
"('ADK3m', 'ME2m', 'ASPTAm', 'ADK4m', 'ME1m', 'TYRTAim', 'ADK1m', 'EHGLATm')","(('YKL106W', 'YER170W', 'YKL029C'),)",3,0.0,0.0037589743589779424,0.0,0.28784774803482577,0.0,0.0
"('ADK3m', 'ASPTA', 'PSERT', 'ADK4m', 'EHGLATp', 'ASPTAp', 'ADK1m', 'EHGLAT', 'OHPBAT', 'TYRTAip')","(('YER170W', 'YOR184W', 'YLR027C'),)",3,0.0,0.003565178176072822,0.0,0.28426758746159364,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'PSP_L', 'ADK1m', 'EHGLAT', 'TYRTAip')","(('YER170W', 'YGR208W', 'YLR027C'),)",3,0.0,0.0035651781760535693,0.0,0.2842675874616294,0.0,0.0
"('G5SD2', 'ADK3m', 'ME2m', 'ME1m', 'ADK4m', 'ADK1m', 'G5SD')","(('YER170W', 'YKL029C', 'YOR323C'),)",3,0.0,0.003908602150537351,0.0,0.2878093950254195,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'GLU5K', 'ADK1m', 'EHGLAT', 'TYRTAip')","(('YDR300C', 'YER170W', 'YLR027C'),)",3,0.0,0.0037589743589683798,0.0,0.2863730755050956,0.0,0.0
"('GTPt2m', 'ASPTA', 'EHGLATp', 'ASPTAp', 'EHGLAT', 'ME2m', 'ME1m', 'TYRTAip')","(('YKL029C', 'YLR027C', 'YDL198C'),)",3,0.0,0.0037589743590063407,0.0,0.28673285290204514,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'ADK1m', 'GHMT2r', 'EHGLAT', 'TYRTAip')","(('YER170W', 'YLR058C', 'YLR027C'), ('YER170W', 'YLR027C', 'YLR058C'))",3,0.0,0.004184984299196782,0.0,0.27857500448159717,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'ADK1m', 'EHGLAT', 'TYRTAip', 'ALATA_L')","(('YDR111C', 'YER170W', 'YLR027C'), ('YER170W', 'YLR027C', 'YDR111C'))",3,0.0,0.003758974358974962,0.0,0.28587584150118567,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'ADK1m', 'EHGLAT', 'ME2m', 'ME1m', 'TYRTAip')","(('YER170W', 'YKL029C', 'YLR027C'),)",3,0.0,0.003758974358978227,0.0,0.286732852902102,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'ASPGLU2m', 'EHGLATp', 'ASPTAp', 'GLUt7m', 'ADK1m', 'EHGLAT', 'TYRTAip')","(('YER170W', 'YLR027C', 'YPR021C'),)",3,0.0,0.003908602150546854,0.0,0.28646914457590583,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'ADK1m', 'G5SD', 'G5SD2', 'EHGLAT', 'GHMT2r', 'TYRTAip')","(('YER170W', 'YLR027C', 'YOR323C', 'YLR058C'),)",4,0.0,0.004184984299172537,0.0,0.2782353958184332,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'PSP_L', 'ADK1m', 'EHGLAT', 'ME2m', 'ME1m', 'TYRTAip')","(('YER170W', 'YGR208W', 'YKL029C', 'YLR027C'),)",4,0.0,0.003053185442019393,0.0,0.2842675874615935,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'PSP_L', 'ADK1m', 'EHGLAT', 'TYRTAip', 'ALATA_L')","(('YER170W', 'YGR208W', 'YLR027C', 'YDR111C'),)",4,0.0,0.003643304381866288,0.0,0.281573307102483,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'PSP_L', 'GLU5K', 'ADK1m', 'EHGLAT', 'TYRTAip')","(('YDR300C', 'YER170W', 'YGR208W', 'YLR027C'),)",4,0.0,0.0035434007134325556,0.0,0.28388380133026836,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'PSERT', 'EHGLATp', 'ASPTAp', 'OHPBAT', 'ADK1m', 'EHGLAT', 'ME2m', 'ME1m', 'TYRTAip')","(('YER170W', 'YKL029C', 'YLR027C', 'YOR184W'),)",4,0.0,0.003053185442038129,0.0,0.28426758746159553,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'ADK1m', 'EHGLAT', 'ME2m', 'ME1m', 'TYRTAip', 'ALATA_L')","(('YER170W', 'YKL029C', 'YLR027C', 'YDR111C'),)",4,0.0,0.003758974358974962,0.0,0.28587584150118567,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'ASPGLU2m', 'EHGLATp', 'GLUt7m', 'ASPTAp', 'PSP_L', 'ADK1m', 'EHGLAT', 'TYRTAip')","(('YER170W', 'YGR208W', 'YPR021C', 'YLR027C'),)",4,0.0,0.0035350123300466477,0.0,0.2842675874616715,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'ASPGLU2m', 'EHGLATp', 'GLUt7m', 'ASPTAp', 'ADK1m', 'EHGLAT', 'TYRTAip', 'ALATA_L')","(('YER170W', 'YPR021C', 'YLR027C', 'YDR111C'),)",4,0.0,0.003908602150536223,0.0,0.2856066677300062,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'ADK1m', 'GHMT2r', 'EHGLAT', 'TYRTAip', 'ALATA_L')","(('YER170W', 'YLR058C', 'YLR027C', 'YDR111C'), ('YER170W', 'YLR027C', 'YDR111C', 'YLR058C'))",4,0.0,0.004149448061137411,0.0,0.2777578338011314,0.0,0.0
"('ADK3m', 'ASPTA', 'ADK4m', 'EHGLATp', 'ASPTAp', 'GLU5K', 'ADK1m', 'GHMT2r', 'EHGLAT', 'TYRTAip')","(('YDR300C', 'YER170W', 'YLR027C', 'YLR058C'),)",4,0.0,0.004184984299236881,0.0,0.27823539581849094,0.0,0.0
